MouseID,Timepoint,Age_at_S1K,Qall,YFP+,YFP+.Ki67+,YFP-,YFP-.Ki67+,population,organ,YFP+frac,YFP+.Ki67+frac,YFP-frac,YFP-.Ki67+frac,Ki67+frac,YFP+.Ki67-,YFP-.Ki67-
BPS1-01716,5,56,5049052.51653543,169826.532283465,5697.15275590551,4879225.98425197,24058.0031496063,4Naive,LN,0.033635326970217,0.033546894465207,0.966364673029783,0.004930700735579,0.005893215768318,164129.379527559,4855167.98110236
BPS1-01716,5,56,87980.9637795276,35422.0850393701,12210.3433070866,52558.8787401575,13283.2818897638,4CM,LN,0.402610786671247,0.344709897610922,0.597389213328753,0.252731454859114,0.289762968052216,23211.7417322835,39275.5968503937
BPS1-01716,5,56,326520.900787402,112099.414173228,28924.0062992126,214421.486614173,24738.0346456693,4EM,LN,0.34331466654325,0.258021029927204,0.65668533345675,0.115371062090352,0.164344888230666,83175.4078740157,189683.451968504
BPS1-01711,6,60,210807.550561798,56221.8426966292,12423.3707865169,154585.707865169,37708.5842696629,4CM,LN,0.266697480933672,0.220970537261698,0.733302519066328,0.243933186259061,0.2378091056159,43798.4719101124,116877.123595506
BPS1-01711,6,60,10691796.494382,476375.370786517,5895.01123595506,10215421.1235955,34834.1573033708,4Naive,LN,0.044555222411578,0.012374718756392,0.955444777588422,0.003409958031286,0.003809384939259,470480.359550562,10180586.9662921
BPS1-01711,6,60,672128.719101124,162478.202247191,29816.0898876404,509650.516853933,56221.8426966292,4EM,LN,0.24173673528559,0.183508245877061,0.75826326471441,0.110314501481694,0.128008118295158,132662.112359551,453428.674157303
BPS1-01712,7,60,842205.441176471,335127.970588235,53559.2647058824,507077.470588235,41429.1176470588,4EM,LN,0.397917128296034,0.159817351598174,0.602082871703966,0.081701751803327,0.112785286948815,281568.705882353,465648.352941177
BPS1-01867,7,83,126184.565137615,43784.7302752294,11824.447706422,82399.8348623853,20164.3963302752,4CM,LN,0.346989588048891,0.270058708414873,0.653010411951109,0.24471403812825,0.25350837483024,31960.2825688073,62235.4385321101
BPS1-01712,7,60,305231.823529412,125519.029411765,31538.3823529412,179712.794117647,36689.0294117647,4CM,LN,0.411225238444608,0.251263752601844,0.588774761555392,0.204153686396677,0.223526534605038,93980.6470588235,143023.764705882
BPS1-01867,7,83,458697.174311927,158373.339449541,27847.4311926605,300323.834862385,30132.3486238532,4EM,LN,0.345267745952677,0.175834084761046,0.654732254047323,0.100332857822159,0.12640099626401,130525.908256881,270191.486238532
BPS1-01712,7,60,10874620.8529412,915322.235294118,10786.5,9959298.61764706,34785.5294117647,4Naive,LN,0.084170496394507,0.011784374490295,0.915829503605493,0.003492768993805,0.004190677544352,904535.735294118,9924513.08823529
BPS1-01867,7,83,7778173.11192661,426251.346788991,8911.17798165138,7351921.76513761,34787.8678899083,4Naive,LN,0.054800959126945,0.020905923344948,0.945199040873055,0.004731806050341,0.005618163191117,417340.16880734,7317133.89724771
BPS1-02127,8,102,266138.13986014,82667.7482517483,21282.8391608392,183470.391608392,50709.2727272727,4CM,LN,0.310619696580098,0.257450331125828,0.689380303419902,0.27638940693771,0.270506556955516,61384.9090909091,132761.118881119
BPS1-02127,8,102,10147192.3636364,558417.902097902,10196.6013986014,9588774.46153846,45987.3566433566,4Naive,LN,0.055031764658277,0.018259803921569,0.944968235341723,0.004795957692802,0.005536896909859,548221.300699301,9542787.10489511
BPS1-01713,8,60,197123.372465315,35946.8516542156,5375.66702241195,161176.520811099,31926.787620064,4CM,LN,0.1823571259189,0.149544863459038,0.8176428740811,0.198085846867749,0.18923405264406,30571.1846318036,129249.733191035
BPS1-01713,8,60,9414849.73319104,442627.748132337,4721.23799359659,8972221.9850587,18931.696905016,4Naive,LN,0.047013787864495,0.010666385045939,0.952986212135505,0.002110034385746,0.002512300840578,437906.510138741,8953290.28815368
BPS1-01713,8,60,1095280.46958378,183380.362860192,20661.2593383138,911900.106723586,80915.4749199573,4EM,LN,0.167427766633946,0.112668875860311,0.832572233366053,0.088732827557925,0.092740386667236,162719.103521878,830984.631803629
BPS1-02123,8,102,306903.563981043,83014.2180094787,17100.9289099526,223889.345971564,60102.2938388626,4CM,LN,0.270489586150933,0.206,0.729510413849067,0.268446421950315,0.251555315120368,65913.2890995261,163787.052132701
BPS1-02127,8,102,847412.853146853,250329.986013986,43455.3146853147,597082.867132867,60358.4055944056,4EM,LN,0.295404990713074,0.173592126845271,0.704595009286926,0.1010888252149,0.122506662359687,206874.671328671,536724.461538462
BPS1-02123,8,102,743143.279620853,203633.876777251,33869.8009478673,539509.402843602,56615.6966824645,4EM,LN,0.274016979445934,0.166326946596005,0.725983020554066,0.10493922141868,0.121760500446828,169764.075829384,482893.706161137
BPS1-02123,8,102,7285991.88625593,230447.469194313,3486.5971563981,7055544.41706161,40261.8957345972,4Naive,LN,0.031628839668216,0.015129682997118,0.968371160331784,0.005706419427711,0.006004466320299,226960.872037915,7015282.52132701
