,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-68.82197172882012,8.213825219309385,0.0,0.992123025504565,10.25709499969945,0.0,4EM,Kihi,SK
4CM,1,-75.675877350905,8.63455230983557,6.8539056220848815,0.007876974462782613,10.354309668609453,2.2167737157465415,4EM,Kihi,SK
4Naive,2,-104.48819269348795,7.433533162990543,35.66622096466783,3.265230240849949e-11,9.65335077347102,5.503302593218814,4EM,Kihi,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-90.41764919978554,6.167264663973853,0.0,0.9806064405424441,10.394067821201803,0.0,4EM,Kihi,LP
4CM,1,-96.57758989249692,6.5966329089889655,6.159940692711361,0.01939355945755591,10.775355129833065,2.6931038793323077,4EM,Kihi,LP
4Naive,2,-149.01188158461406,5.9082500967329565,58.59423238482851,1.343203665423921e-19,10.83760020016972,8.838990586201309,4EM,Kihi,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-69.31059617762952,7.679324853387783,0.0,0.9888968737183145,10.269872343778538,0.0,4EM,Kimid,SK
4CM,1,-75.66505890833118,7.877161374703377,6.354462730701664,0.011103125713893167,10.03518938238837,2.3142453926902906,4EM,Kimid,SK
4Naive,2,-100.10005246402193,7.276365395857852,30.78945628639241,5.677914086481605e-10,9.804162071949918,5.534974853705303,4EM,Kimid,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-84.79291413575673,6.1565164214045325,0.0,0.9865940437009518,9.091253774249285,0.0,4EM,Kimid,LP
4CM,1,-91.23239092883955,6.098075180789635,6.439476793082825,0.013405956299048762,10.196762989952992,2.613082130132158,4EM,Kimid,LP
4Naive,2,-142.13868727490302,6.3804662134588455,57.34577313914628,3.5798029446851615e-17,9.4780260295095,9.633379533928906,4EM,Kimid,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-69.19902126546413,7.449321387248894,0.0,0.9957666162601067,10.514775155608863,0.0,4EM,Kilo,SK
4CM,1,-76.69123060706305,8.401804407688317,7.49220934159892,0.0042333836149823605,10.043148606424337,2.4856364526107297,4EM,Kilo,SK
4Naive,2,-99.96044145289662,7.592247508156518,30.761420187432478,1.2491113565199955e-10,9.97193665780242,5.657611111579962,4EM,Kilo,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-84.29646767666236,5.666909132244797,0.0,0.9863260075139001,9.150547952039682,0.0,4EM,Kilo,LP
4CM,1,-90.62458639733997,5.82677190686006,6.328118720677604,0.013673992486045623,9.817337955641312,2.567787571017301,4EM,Kilo,LP
4Naive,2,-142.49649030119434,6.7815016300875754,58.200022624532,5.521737029324135e-14,9.606182213616924,9.542870318382576,4EM,Kilo,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
69,0,-81.10391993749613,8.704658328460226,0.0,0.8259354223228849,9.792877255730394,0.0,4EM.CD69+,Kihi,SK
4EM,1,-84.56411557346554,8.035092500360875,3.4601956359694155,0.14611268816749873,9.859930687747585,3.6984567688942454,4EM.CD69+,Kihi,SK
4CM,2,-88.86135285985253,7.564004452177343,7.757432922356404,0.027951878772639313,9.940111623432198,4.816392153851324,4EM.CD69+,Kihi,SK
4Naive,3,-118.9217865187752,6.283382678606998,37.81786658127907,1.0736977819783399e-08,10.826934721913572,7.944983006166755,4EM.CD69+,Kihi,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-100.21581869597878,6.652184342364208,0.0,0.8288162793733811,12.394779218324517,0.0,4EM.CD69+,Kihi,LP
69,1,-102.60195501422697,6.926678259721513,2.386136318248205,0.16143897903519025,11.173816227967501,1.8365945109905928,4EM.CD69+,Kihi,LP
4CM,2,-106.84878350029393,6.484320445594975,6.632964804315168,0.009744741591428206,11.831514765092772,2.820974503798111,4EM.CD69+,Kihi,LP
4Naive,3,-159.57970722659218,6.341290680990795,59.36388853061341,1.0660981910081346e-17,12.235989651020981,8.917976473937683,4EM.CD69+,Kihi,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
69,0,-83.80541750791956,7.787084490190281,0.0,0.6365450583567035,9.547458028184215,0.0,4EM.CD69+,Kimid,SK
4EM,1,-84.9970657560462,7.0678866589158815,1.1916482481266293,0.33801941613273895,9.600492498240879,3.3377492128344874,4EM.CD69+,Kimid,SK
4CM,2,-90.14448233973562,7.941507019538946,6.339064831816047,0.025435437767557946,9.962995611034716,4.559925351450026,4EM.CD69+,Kimid,SK
4Naive,3,-115.1790594070271,6.921437185649069,31.37364189910754,8.774299971172673e-08,10.349135206172546,7.714733347243202,4EM.CD69+,Kimid,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-94.5958586409855,6.927099238125635,0.0,0.8427701395653784,11.858642751449185,0.0,4EM.CD69+,Kimid,LP
69,1,-97.1103276653394,6.95852313238224,2.5144690243538967,0.1525275567036872,12.19731489772916,1.8118008966861285,4EM.CD69+,Kimid,LP
4CM,2,-102.24989455632624,7.725302625348803,7.6540359153407485,0.004702303730933064,11.587681563422375,2.689251824216798,4EM.CD69+,Kimid,LP
4Naive,3,-159.24937365425322,7.623764657562106,64.65351501326774,4.487250392761512e-20,11.77647581119055,9.105692416076685,4EM.CD69+,Kimid,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
