MouseID,Age_at_SK1,Days_post_treatment,mT+,mT-,mT+.Ki67+,mT-.Ki67+,population,organ,Qall,mT+frac,mT+.Ki67+frac,mT-frac,mT-.Ki67+frac,Ki67+frac,mT+.Ki67-,mT-.Ki67-
BPS1-00607,81,37.0,110155.86635997497,57981.510368470685,0.0,0.0,4CM,LN,168137.37672844564,0.6551539491298528,0.0,0.3448460508701473,0.0,0.0,0.0,0.0
BPS1-00606,81,37.0,2329867.7380817584,3033381.163637196,0.0,0.0,4Naive,LN,5363248.901718955,0.4344135021097047,0.0,0.5655864978902954,0.0,0.0,0.0,0.0
BPS1-00606,81,37.0,214167.88019353664,52923.423761547376,0.0,0.0,4EM,LN,267091.303955084,0.8018526886579305,0.0,0.1981473113420696,0.0,0.0,0.0,0.0
BPS1-00607,81,37.0,378095.2683111687,102863.1608633195,0.0,0.0,4EM,LN,480958.4291744882,0.786128790715088,0.0,0.21387120928491202,0.0,0.0,0.0,0.0
BPS1-00607,81,37.0,2823672.544924164,3584364.7516061654,0.0,0.0,4Naive,LN,6408037.29653033,0.4406454604209402,0.0,0.5593545395790598,0.0,0.0,0.0,0.0
BPS1,90,48.0,141573.32735448214,110505.01577013702,0.0,0.0,4CM,LN,252078.34312461916,0.5616243172643077,0.0,0.4383756827356923,0.0,0.0,0.0,0.0
BPS1-00774,90,48.0,103738.98478927038,75826.54564103083,0.0,0.0,4CM,LN,179565.5304303012,0.5777221526908636,0.0,0.4222778473091364,0.0,0.0,0.0,0.0
BPS1,90,48.0,3391534.221816296,8201136.330186642,0.0,0.0,4Naive,LN,11592670.552002938,0.29255849259257344,0.0,0.7074415074074265,0.0,0.0,0.0,0.0
BPS1-00774,90,48.0,2083319.7335280252,5280754.811931114,0.0,0.0,4Naive,LN,7364074.545459139,0.28290312932976064,0.0,0.7170968706702393,0.0,0.0,0.0,0.0
BPS1,90,48.0,539175.881387662,236514.25639643084,0.0,0.0,4EM,LN,775690.1377840929,0.6950918351597468,0.0,0.30490816484025307,0.0,0.0,0.0,0.0
BPS1-00774,90,48.0,455678.43491924746,189813.5757214423,0.0,0.0,4EM,LN,645492.0106406898,0.7059396977926329,0.0,0.2940603022073672,0.0,0.0,0.0,0.0
BPS1-01719,139,63.0,291956.76703361236,336459.2837778945,59801.79654826186,103937.31964824829,4EM,LN,628416.0508115068,0.46459151808199867,0.204831,0.5354084819180014,0.308915,0.26055845643195324,232154.9704853505,232521.96412964622
BPS1-01719,139,63.0,1599874.972515283,4757084.816191428,14079.699695620746,115880.68328849673,4Naive,LN,6356959.7887067115,0.25167297351125273,0.0088005,0.7483270264887473,0.024359600000000002,0.020443795037841068,1585795.2728196622,4641204.132902931
BPS1-01719,139,63.0,131671.74228749212,147307.7616841318,27495.29820924724,51078.37713292597,4CM,LN,278979.50397162396,0.47197640117994094,0.208817,0.5280235988200589,0.346746,0.2816467669616519,104176.44407824488,96229.38455120585
BPS1-00739,127,85.0,35758.78798640088,33109.98887629711,0.0,0.0,4EM,LN,68868.776862698,0.5192307692307692,0.0,0.4807692307692307,0.0,0.0,0.0,0.0
BPS1-00610,127,85.0,197440.0490868404,227721.54046055005,0.0,0.0,4EM,LN,425161.58954739047,0.4643882559970362,0.0,0.5356117440029637,0.0,0.0,0.0,0.0
BPS1-00610,127,85.0,54380.67566592074,92458.96195769869,0.0,0.0,4CM,LN,146839.63762361943,0.3703405738803969,0.0,0.629659426119603,0.0,0.0,0.0,0.0
BPS1-00739,127,85.0,67842.36720753278,101415.89592809805,0.0,0.0,4CM,LN,169258.2631356308,0.4008215962441315,0.0,0.5991784037558686,0.0,0.0,0.0,0.0
BPS1-00739,127,85.0,932377.2867565267,4478291.545463566,0.0,0.0,4Naive,LN,5410668.832220092,0.17232200226417405,0.0,0.827677997735826,0.0,0.0,0.0,0.0
BPS1-00610,127,85.0,905215.7655381506,4640274.308813975,0.0,0.0,4Naive,LN,5545490.074352126,0.16323458403158464,0.0,0.8367654159684154,0.0,0.0,0.0,0.0
