,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-55.400271964245405,5.92184308415424,0.0,0.7956573447577312,8.421326371309734,0.0,4EM,Kihi,SK
4EM,1,-57.35172396701312,5.583315963801809,1.9514520027677236,0.16482894211208804,7.279538164073834,1.2011886638772247,4EM,Kihi,SK
4Naive,2,-61.71158638905168,5.1306959082016945,6.3113144248062785,0.039513713130181,7.444281410602262,2.787486102353163,4EM,Kihi,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-81.4964521168261,4.6774604282138625,0.0,0.5156789262954784,8.673683230536923,0.0,4EM,Kihi,LP
4CM,1,-81.56752324278666,4.796796206848057,0.0710711259605521,0.4843197810036363,9.4031286854578,0.9143323069059069,4EM,Kihi,LP
4Naive,2,-99.44381196867062,4.054081136031826,17.947359851844503,1.2927008858278257e-06,8.524663416264657,3.72512816862312,4EM,Kihi,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-55.482962473810474,5.277859357575082,0.0,0.6278965050071679,7.356786344484085,0.0,4EM,Kimid,SK
4Naive,1,-57.23450755411329,5.613644104739777,1.751545080302817,0.2241540776864569,7.467477778872813,2.052922647477819,4EM,Kimid,SK
4EM,2,-57.47118395121502,5.304176208922641,1.9882214774045366,0.1479494173063751,7.828315303847793,1.1974583907660792,4EM,Kimid,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-80.77026985937586,4.875865414767361,0.0,0.59153654829558,8.659199637103637,0.0,4EM,Kimid,LP
4CM,1,-81.27989666834011,4.924467655917567,0.5096268089642484,0.40840110830519855,8.76692009323821,0.9932675615389146,4EM,Kimid,LP
4Naive,2,-95.36999606788025,4.369476252951586,14.59972620850437,6.234339922176834e-05,8.612335788870597,3.6786411792617644,4EM,Kimid,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-55.590563095261956,5.418609803118002,0.0,0.6044625051307722,7.55638816089471,0.0,4EM,Kilo,SK
4Naive,1,-56.57105443919396,4.977926515484121,0.9804913439320044,0.3183651846079678,7.6324977492366015,2.0371174987407072,4EM,Kilo,SK
4EM,2,-58.34437571336861,5.811556532584099,2.7538126181066582,0.07717231026126059,7.801263095030511,1.240348635382317,4EM,Kilo,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-81.20142415586173,4.959760200741243,0.0,0.6120027676184628,9.038711597030678,0.0,4EM,Kilo,LP
4CM,1,-81.82096538463509,5.0598884868758915,0.6195412287733522,0.387958787958763,8.958099403824399,0.9133489086025626,4EM,Kilo,LP
4Naive,2,-95.87612946483104,4.757288077610781,14.674705308969287,3.8444422774183304e-05,8.929936366120108,3.6446425629486705,4EM,Kilo,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
69,0,-72.7202782892311,7.739248320669688,0.0,0.707482999530117,11.063202628825382,0.0,4EM.CD69+,Kihi,SK
4CM,1,-74.76408533855778,6.793165355383124,2.0438070493266682,0.15616652727011066,9.079079623720341,2.5410743389331834,4EM.CD69+,Kihi,SK
4EM,2,-75.67352270152814,6.61897562594433,2.9532444122970327,0.13593171603495455,9.685920358417262,3.409903985737188,4EM.CD69+,Kihi,SK
4Naive,3,-84.94171813985315,6.829022296134539,12.221439850622039,0.00041875716481802876,10.638154654648938,3.5015200140725797,4EM.CD69+,Kihi,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-92.66839035102997,5.5109952752139435,0.0,0.5753585056295857,11.2212402354307,0.0,4EM.CD69+,Kihi,LP
4CM,1,-93.28627935946237,5.566118675764471,0.617889008432388,0.34410735041211593,11.527922905025955,1.1547588058794136,4EM.CD69+,Kihi,LP
69,2,-95.62191104212911,5.978462305918271,2.953520691099123,0.08053397715374933,11.137624288243513,1.9753668578560035,4EM.CD69+,Kihi,LP
4Naive,3,-113.52998454453102,4.747959487998983,20.861594193501027,1.668045495845721e-07,11.154590825174466,4.19525649042353,4EM.CD69+,Kihi,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-75.39127894198224,6.418699168360931,0.0,0.3979256157801919,8.898817725122273,0.0,4EM.CD69+,Kimid,SK
69,1,-75.81695142319765,7.433978739211611,0.4256724812154289,0.40293759753508424,10.528423747970047,2.2445462393307936,4EM.CD69+,Kimid,SK
4EM,2,-76.81810378001873,6.54305834576185,1.4268248380365058,0.19325804077949252,10.540540541019835,1.2653478391735533,4EM.CD69+,Kimid,SK
4Naive,3,-80.60556558735165,6.666243646863279,5.214286645369405,0.005878745905230552,9.563851609375211,1.9669363287012163,4EM.CD69+,Kimid,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-90.62803849865035,6.430870188975732,0.0,0.582086451205273,11.380569729885941,0.0,4EM.CD69+,Kimid,LP
4CM,1,-91.49307570955561,6.313687767337711,0.8650372109052569,0.3124215581481862,11.374802139913529,1.1984454467208427,4EM.CD69+,Kimid,LP
69,2,-93.24446557848376,5.913934189905447,2.6164270798333913,0.10549198272923428,11.558387581457378,1.897906658244662,4EM.CD69+,Kimid,LP
4Naive,3,-113.45987879836886,6.063217390207441,22.831840299718507,7.917306959176795e-09,11.243190235931776,3.9422048995233485,4EM.CD69+,Kimid,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
