,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-62.20149797625832,6.468107722458797,0.0,0.6820195926194799,8.266248355077094,0.0,4EM,Kihi,SK
4Naive,1,-63.70942518990589,6.392681235576852,1.5079272136475739,0.28193990600099983,8.843762333715533,2.216417285989345,4EM,Kihi,SK
4EM,2,-66.84944894852134,6.088569652914998,4.647950972263028,0.03604050137951962,9.118929377940304,2.2476643372125555,4EM,Kihi,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-82.5988028063196,4.977166524953546,0.0,0.6461701576940867,10.349537105712828,0.0,4EM,Kihi,LP
4EM,1,-83.38396989121533,5.207745013962537,0.7851670848957282,0.35267650632553954,9.634646040337344,1.3549137015662025,4EM,Kihi,LP
4Naive,2,-89.89379538815511,5.530815665722827,7.294992581835511,0.0011533359803731042,9.632179809109317,1.5101875601294388,4EM,Kihi,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-60.117057979408514,6.353047530285295,0.0,0.5101724594486198,8.427991190921617,0.0,4EM,Kimid,SK
4Naive,1,-60.30850188206469,6.100243554199984,0.19144390265616806,0.4594567686193415,8.768441436188587,1.8055777455842092,4EM,Kimid,SK
4EM,2,-64.4679387787622,6.574223719035956,4.350880799353692,0.030370771932038177,8.844020779545938,1.9589476852436132,4EM,Kimid,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-81.26774252391907,4.984670529643054,0.0,0.8979671041117695,9.689715715671225,0.0,4EM,Kimid,LP
4CM,1,-83.95644988250656,5.965257876543447,2.688707358587478,0.09526127694880744,10.018519837032411,1.2777967178440095,4EM,Kimid,LP
4Naive,2,-87.4882181069275,5.500910834909163,6.220475583008427,0.006771618939423943,9.602868979328845,1.9768816470634134,4EM,Kimid,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4CM,0,-59.84393744155976,6.832375286623773,0.0,0.5986831450928456,8.23288765101398,0.0,4EM,Kilo,SK
4Naive,1,-60.60996981117744,6.240232535534204,0.7660323696176761,0.36965105753870525,8.423826323306994,1.844985346334941,4EM,Kilo,SK
4EM,2,-64.2326523823136,6.550457363190034,4.388714940753836,0.03166579736844826,8.490117348077188,1.9604132433531356,4EM,Kilo,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-81.60297325177086,4.935141657601534,0.0,0.8777806950757414,9.896977765409748,0.0,4EM,Kilo,LP
4CM,1,-83.94770831212165,5.616542415579559,2.344735060350774,0.11705614898925716,10.205075027230173,1.1426396146884332,4EM,Kilo,LP
4Naive,2,-87.9484099180859,5.944044871710176,6.345436666315033,0.005163155935001677,9.774825853017262,1.8964028986634085,4EM,Kilo,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
69,0,-81.74579905403318,9.190446044082847,0.0,0.727273325563199,11.366823481997276,0.0,4EM.CD69+,Kihi,SK
4CM,1,-84.38379756837581,8.391720651550543,2.6379985143426072,0.09056031787489263,9.83325457029303,2.361250381489288,4EM.CD69+,Kihi,SK
4EM,2,-84.65614154729136,7.678039607573552,2.9103424932581596,0.1571480160055578,10.654410570848567,3.3267438089014427,4EM.CD69+,Kihi,SK
4Naive,3,-86.75800576157249,7.482911061409652,5.012206707539313,0.02501834055635044,11.007186491217439,2.807533787429084,4EM.CD69+,Kihi,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-94.6224164436008,5.927611357802192,0.0,0.6859673628891911,11.95338852644198,0.0,4EM.CD69+,Kihi,LP
4CM,1,-95.8011856102992,5.94336763783113,1.1787691666983902,0.2655183993889979,12.219067380163528,1.2375968160762134,4EM.CD69+,Kihi,LP
69,2,-98.26385574636764,6.426330678641634,3.641439302766848,0.03323272503425791,12.111918938385026,1.4248267324209722,4EM.CD69+,Kihi,LP
4Naive,3,-99.41819524584757,5.552964768363196,4.79577880224676,0.015281512687554705,11.961137809857458,1.7457153909616585,4EM.CD69+,Kihi,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
69,0,-82.06455841529825,8.668635387741247,0.0,0.6148865166964379,11.084387072985809,0.0,4EM.CD69+,Kimid,SK
4CM,1,-83.38055396377416,8.19815168117701,1.3159955484759038,0.18624916766179617,10.17272186830617,2.429531092524132,4EM.CD69+,Kimid,SK
4EM,2,-84.36037159080607,8.537120670411966,2.29581317550781,0.16092749559162445,10.590052114909236,3.3438388162165564,4EM.CD69+,Kimid,SK
4Naive,3,-85.50749815216935,7.522239766578949,3.442939736871078,0.03793682005014184,11.426872070438073,2.3475635455945194,4EM.CD69+,Kimid,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
4EM,0,-93.82182728303243,7.468449050488715,0.0,0.8297500984218137,12.54036641561454,0.0,4EM.CD69+,Kimid,LP
4CM,1,-96.49735273155481,7.494536720074464,2.675525448522384,0.08580279109168697,12.489032046553207,1.3005082141398365,4EM.CD69+,Kimid,LP
69,2,-97.49319582992514,6.667616501693885,3.6713685468927073,0.04912599959171182,12.479633073107465,1.7438824866585545,4EM.CD69+,Kimid,LP
4Naive,3,-99.12493846304939,6.0706931394787205,5.303111180016948,0.03532111089478782,12.50717584530657,2.7373455578113277,4EM.CD69+,Kimid,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,ki,organ
